ZINC_ID,Binding Affinity (kcal/mol)
ZINC000000004009,-6.7
ZINC000000004009,-6.6
ZINC000000004009,-6.6
ZINC000000004009,-6.7
ZINC000000004009,-6.7
ZINC000000004009,-6.6
ZINC000000004009,-6.6
ZINC000000004009,-6.7
ZINC000000004009,-6.7
ZINC000000004009,-6.5
ZINC000000004009,-6.7
ZINC000000004009,-6.7
ZINC000000004009,-6.7
ZINC000000004009,-6.6
ZINC000000004009,-6.7
ZINC000000004009,-6.7
ZINC000000004028,-7.5
ZINC000000004028,-8.2
ZINC000000004028,-8.4
ZINC000000004028,-7.6
ZINC000000004028,-8.5
ZINC000000004028,-8.2
ZINC000000004028,-7.2
ZINC000000004028,-7.8
ZINC000000004028,-8.5
ZINC000000004028,-8.4
ZINC000000004028,-6.8
ZINC000000004028,-8.4
ZINC000000004028,-7.7
ZINC000000004028,-7.5
ZINC000000004028,-8.4
ZINC000000004028,-7.3
ZINC000000004076,-6.9
ZINC000000004076,-8.1
ZINC000000004076,-7.1
ZINC000000004076,-7.9
ZINC000000004076,-8.4
ZINC000000004076,-7.9
ZINC000000004076,-8.2
ZINC000000004076,-8.2
ZINC000000004076,-7.6
ZINC000000004076,-8.0
ZINC000000004076,-7.7
ZINC000000004076,-8.0
ZINC000000004076,-7.6
ZINC000000004076,-7.9
ZINC000000004076,-7.9
ZINC000000004166,-6.9
ZINC000000004166,-6.9
ZINC000000004166,-6.9
ZINC000000004166,-6.9
ZINC000000004166,-6.9
ZINC000000004166,-6.9
ZINC000000004166,-6.9
ZINC000000004227,-6.8
ZINC000000004227,-6.8
ZINC000000004234,-7.2
ZINC000000004234,-6.8
ZINC000000004234,-6.8
ZINC000000004319,-8.7
ZINC000000004319,-8.6
ZINC000000004319,-8.6
ZINC000000004319,-8.5
ZINC000000004319,-8.7
ZINC000000004319,-8.6
ZINC000000004319,-8.7
ZINC000000004319,-8.7
ZINC000000004319,-8.7
ZINC000000004319,-8.5
ZINC000000004319,-8.6
ZINC000000004319,-8.4
ZINC000000004319,-8.6
ZINC000000004319,-8.7
ZINC000000004319,-8.6
ZINC000000004319,-8.5
ZINC000000004319,-8.6
ZINC000000004321,-6.7
ZINC000000004321,-6.4
ZINC000000004321,-6.6
ZINC000000004321,-6.7
ZINC000000004321,-6.7
ZINC000000004321,-6.7
ZINC000000004351,-8.5
ZINC000000004351,-8.6
ZINC000000004413,-7.0
ZINC000000004413,-7.0
ZINC000000004413,-7.1
ZINC000000004413,-7.0
ZINC000000004413,-6.9
ZINC000000004413,-7.0
ZINC000000004413,-6.4
ZINC000000004413,-7.0
ZINC000000004413,-6.9
ZINC000000004448,-7.9
ZINC000000004448,-9.0
ZINC000000004448,-7.9
ZINC000000004448,-8.9
ZINC000000004448,-8.5
ZINC000000004724,-8.7
ZINC000000004724,-8.3
ZINC000000004759,-6.9
ZINC000000004759,-7.1
ZINC000000004759,-7.0
ZINC000000004759,-7.0
ZINC000000004760,-7.2
ZINC000000004760,-7.6
ZINC000000004760,-7.6
ZINC000000004760,-7.4
ZINC000000004778,-7.4
ZINC000000004778,-7.2
ZINC000000004785,-8.3
ZINC000000004840,-8.6
ZINC000000004840,-8.5
ZINC000000004893,-8.7
ZINC000000004893,-8.3
ZINC000000004942,-8.4
ZINC000000004942,-8.2
ZINC000000004942,-8.1
ZINC000000004942,-8.2
ZINC000000004942,-8.1
ZINC000000004949,-5.9
ZINC000000004949,-5.5
ZINC000000004949,-6.0
ZINC000000004949,-5.3
ZINC000000005151,-8.2
ZINC000000005151,-7.8
ZINC000000005151,-7.8
ZINC000000005151,-8.2
ZINC000000005151,-6.8
ZINC000000005151,-7.8
ZINC000000005151,-7.9
ZINC000000005151,-8.0
ZINC000000005151,-7.6
ZINC000000005151,-6.8
ZINC000000005151,-8.1
ZINC000000005151,-7.8
ZINC000000005151,-8.2
ZINC000000005151,-7.7
ZINC000000005152,-5.4
ZINC000000005152,-5.3
ZINC000000005152,-5.5
ZINC000000005152,-5.6
ZINC000000005152,-5.5
ZINC000000005152,-5.6
ZINC000000005152,-5.4
ZINC000000005152,-5.6
ZINC000000005423,-8.2
ZINC000000005423,-8.3
ZINC000000005560,-9.2
ZINC000000005560,-9.3
ZINC000000005560,-9.2
ZINC000000005560,-9.3
ZINC000000005560,-8.9
ZINC000000005560,-8.6
ZINC000000005608,-8.1
ZINC000000005608,-8.1
ZINC000000005608,-8.2
ZINC000000005608,-8.2
ZINC000000005608,-8.2
ZINC000000005608,-8.1
ZINC000000005626,-7.1
ZINC000000005626,-6.7
ZINC000000005823,-8.1
ZINC000000005823,-8.4
ZINC000000005823,-8.5
ZINC000000005823,-7.4
ZINC000000005823,-8.1
ZINC000000005823,-8.3
ZINC000000005823,-8.3
ZINC000000005823,-7.5
ZINC000000005878,-5.5
ZINC000000005878,-5.5
ZINC000000005895,-6.5
ZINC000000005895,-6.9
ZINC000000005895,-7.5
ZINC000000005895,-6.8
ZINC000000005895,-7.3
ZINC000000005895,-7.0
ZINC000000005895,-6.9
ZINC000000005895,-7.4
ZINC000000005895,-6.8
ZINC000000005895,-7.1
ZINC000000005895,-7.4
ZINC000000005895,-7.5
ZINC000000005895,-7.4
ZINC000000005895,-6.7
ZINC000000006016,-7.7
ZINC000000006016,-6.9
ZINC000000006016,-6.6
ZINC000000006016,-6.6
ZINC000000006016,-6.6
ZINC000000006016,-6.5
ZINC000000006156,-6.8
ZINC000000006156,-6.9
ZINC000000006156,-7.1
ZINC000000006156,-7.1
ZINC000000006156,-7.1
ZINC000000006156,-7.2
ZINC000000006157,-8.2
ZINC000000006157,-8.3
ZINC000000006226,-5.3
ZINC000000006251,-7.6
ZINC000000006251,-7.7
ZINC000000006251,-7.7
ZINC000000006251,-7.4
ZINC000000006251,-7.6
ZINC000000006251,-7.2
ZINC000000006251,-7.5
ZINC000000006251,-7.7
ZINC000000006251,-7.7
ZINC000000006251,-7.2
ZINC000000006251,-7.3
ZINC000000006251,-7.8
ZINC000000006251,-7.4
ZINC000000006251,-7.2
ZINC000000006251,-7.6
ZINC000000006300,-8.2
ZINC000000006300,-8.1
ZINC000000006300,-8.3
ZINC000000006300,-8.3
ZINC000000006300,-8.3
ZINC000000006310,-6.9
ZINC000000006427,-8.0
ZINC000000006427,-7.7
ZINC000000006481,-7.1
ZINC000000006481,-6.9
ZINC000000006694,-7.9
ZINC000000006694,-8.6
ZINC000000006694,-8.6
ZINC000000006694,-8.0
ZINC000000006787,-8.7
ZINC000000006923,-7.6
ZINC000000006923,-7.8
ZINC000000006923,-7.7
ZINC000000006923,-7.2
ZINC000000006923,-7.7
ZINC000000006923,-7.7
ZINC000000006923,-7.7
ZINC000000007295,-8.0
ZINC000000007295,-8.8
ZINC000000007295,-7.8
ZINC000000007295,-8.8
ZINC000000007295,-8.2
ZINC000000007368,-7.9
ZINC000000007368,-7.7
ZINC000000007368,-7.9
ZINC000000007368,-7.8
ZINC000000007368,-7.9
ZINC000000007368,-7.6
ZINC000000007368,-7.9
ZINC000000007368,-7.8
ZINC000000007368,-7.8
ZINC000000007455,-8.4
ZINC000000007455,-8.5
ZINC000000007563,-8.3
ZINC000000007563,-8.0
ZINC000000007563,-7.9
ZINC000000007563,-8.0
ZINC000000007563,-7.9
ZINC000000007563,-8.3
ZINC000000007563,-8.0
ZINC000000007563,-8.0
ZINC000000007601,-6.7
ZINC000000007601,-6.7
ZINC000000007601,-6.7
ZINC000000007601,-6.7
ZINC000000007601,-6.7
ZINC000000007673,-7.0
ZINC000000007673,-6.0
ZINC000000007673,-7.1
ZINC000000007673,-7.0
ZINC000000007673,-7.0
ZINC000000007782,-7.6
ZINC000000007782,-7.7
ZINC000000007782,-7.6
ZINC000000007782,-7.7
ZINC000000008492,-6.7
ZINC000000008667,-8.3
ZINC000000008667,-8.5
ZINC000000009073,-9.6
ZINC000000009342,-6.6
ZINC000000009342,-6.5
ZINC000000009342,-6.6
ZINC000000009342,-6.6
ZINC000000009342,-6.8
ZINC000000009689,-9.1
ZINC000000009689,-9.3
ZINC000000009689,-8.5
ZINC000000009689,-8.4
ZINC000000009689,-8.6
ZINC000000009689,-9.2
ZINC000000009689,-8.2
ZINC000000009689,-9.2
ZINC000000009689,-8.8
ZINC000000009689,-8.9
ZINC000000009689,-8.2
ZINC000000009708,-6.1
ZINC000000009708,-6.0
ZINC000000009708,-6.0
ZINC000000009708,-5.9
ZINC000000010163,-5.9
ZINC000000010164,-5.8
ZINC000000010402,-7.5
ZINC000000011012,-8.2
ZINC000000011012,-8.0
ZINC000000011012,-8.0
ZINC000000012342,-8.2
ZINC000000012342,-8.5
ZINC000000012342,-8.6
ZINC000000012342,-8.2
ZINC000000012342,-8.5
ZINC000000012342,-8.5
ZINC000000012342,-8.5
ZINC000000012342,-8.5
ZINC000000012342,-8.4
ZINC000000012342,-8.4
ZINC000000012342,-8.5
ZINC000000012342,-8.3
ZINC000000012342,-8.2
ZINC000000012342,-7.8
ZINC000000012346,-7.1
ZINC000000012346,-6.0
ZINC000000013156,-7.9
ZINC000000013156,-7.9
ZINC000000013245,-5.7
ZINC000000014007,-6.7
ZINC000000014007,-6.9
ZINC000000014007,-6.7
ZINC000000014007,-6.6
ZINC000000014007,-6.9
ZINC000000014007,-6.8
ZINC000000014007,-6.4
ZINC000000014007,-6.8
ZINC000000014007,-6.8
ZINC000000014007,-7.0
ZINC000000014037,-7.0
ZINC000000014037,-6.9
ZINC000000014257,-7.6
ZINC000000014360,-7.1
ZINC000000014360,-7.3
ZINC000000014360,-6.4
ZINC000000014360,-7.4
ZINC000000014360,-6.3
ZINC000000014360,-6.5
ZINC000000014360,-6.5
ZINC000000014360,-7.4
ZINC000000014360,-7.0
ZINC000000014360,-7.5
ZINC000000014360,-6.9
ZINC000000014360,-7.3
ZINC000000014360,-7.3
ZINC000000014360,-6.4
ZINC000000014360,-6.7
ZINC000000014360,-7.4
ZINC000000014551,-9.2
ZINC000000014551,-8.7
ZINC000000014551,-8.4
ZINC000000014551,-9.7
ZINC000000014551,-9.0
ZINC000000014551,-9.7
ZINC000000014551,-9.4
ZINC000000014551,-9.1
ZINC000000014551,-9.2
ZINC000000014551,-8.9
ZINC000000014551,-9.1
ZINC000000014669,-9.4
ZINC000000014669,-9.0
ZINC000000014669,-9.8
ZINC000000014669,-9.9
ZINC000000014669,-8.5
ZINC000000014669,-9.5
ZINC000000014669,-9.1
ZINC000000014669,-8.8
ZINC000000014669,-8.7
ZINC000000014669,-9.6
ZINC000000014669,-9.8
ZINC000000014669,-9.3
ZINC000000014669,-9.6
ZINC000000014669,-9.2
ZINC000000014864,-7.7
ZINC000000014864,-7.6
ZINC000000014864,-7.6
ZINC000000014864,-7.8
ZINC000000014864,-7.7
ZINC000000014864,-7.8
ZINC000000014864,-7.1
ZINC000000014864,-7.8
ZINC000000014864,-7.8
ZINC000000014864,-7.6
ZINC000000014864,-7.8
ZINC000000014864,-7.7
ZINC000000014864,-7.7
ZINC000000014864,-7.8
ZINC000000014864,-7.7
ZINC000000015515,-7.8
ZINC000000015515,-7.7
ZINC000000015515,-7.4
ZINC000000015515,-7.7
ZINC000000015515,-7.9
ZINC000000015515,-7.8
ZINC000000015515,-7.4
ZINC000000015515,-7.1
ZINC000000015515,-7.9
ZINC000000015515,-7.9
ZINC000000015515,-7.8
ZINC000000015515,-7.8
ZINC000000015515,-7.8
ZINC000000015515,-7.8
ZINC000000015515,-7.2
ZINC000000015515,-7.4
ZINC000000015515,-7.8
ZINC000000016154,-8.5
ZINC000000016154,-8.3
ZINC000000016678,-8.0
ZINC000000016678,-8.5
ZINC000000016678,-8.4
ZINC000000016678,-7.9
ZINC000000016956,-6.2
ZINC000000016956,-6.1
ZINC000000018087,-7.8
ZINC000000018087,-7.8
ZINC000000018087,-7.8
ZINC000000018087,-7.8
ZINC000000018087,-7.8
ZINC000000018087,-7.8
ZINC000000018087,-7.8
ZINC000000018087,-7.6
ZINC000000018087,-7.8
ZINC000000018087,-7.8
ZINC000000018087,-7.6
ZINC000000018087,-7.6
ZINC000000018087,-7.7
ZINC000000018087,-7.6
ZINC000000018087,-7.6
ZINC000000018087,-7.8
ZINC000000018087,-7.7
ZINC000000018087,-7.7
ZINC000000018635,-7.3
ZINC000000018635,-7.3
ZINC000000018635,-7.1
ZINC000000018635,-7.2
ZINC000000020220,-8.4
ZINC000000020221,-8.6
ZINC000000020221,-8.7
ZINC000000020221,-8.6
ZINC000000020221,-8.6
ZINC000000020228,-7.2
ZINC000000020228,-7.1
ZINC000000020228,-7.2
ZINC000000020228,-6.6
ZINC000000020228,-6.7
ZINC000000020228,-7.2
ZINC000000020228,-7.2
ZINC000000020228,-7.2
ZINC000000020229,-7.7
ZINC000000020229,-7.7
ZINC000000020229,-7.9
ZINC000000020229,-7.5
ZINC000000020229,-7.7
ZINC000000020229,-7.4
ZINC000000020229,-7.7
ZINC000000020229,-7.7
ZINC000000020229,-7.7
ZINC000000020229,-7.8
ZINC000000020229,-7.7
ZINC000000020229,-7.4
ZINC000000020230,-6.9
ZINC000000020230,-6.8
ZINC000000020230,-6.9
ZINC000000020230,-7.0
ZINC000000020230,-6.4
ZINC000000020231,-6.3
ZINC000000020235,-8.8
ZINC000000020235,-8.6
ZINC000000020235,-9.1
ZINC000000020237,-7.2
ZINC000000020237,-6.4
ZINC000000020237,-7.0
ZINC000000020237,-7.1
ZINC000000020237,-7.2
ZINC000000020240,-7.9
ZINC000000020240,-7.9
ZINC000000020240,-8.0
ZINC000000020240,-7.9
ZINC000000020240,-7.9
ZINC000000020241,-9.3
ZINC000000020241,-9.2
ZINC000000020241,-9.3
ZINC000000020241,-9.3
ZINC000000020241,-9.4
ZINC000000020241,-9.4
ZINC000000020241,-9.2
ZINC000000020243,-9.1
ZINC000000020243,-9.1
ZINC000000020244,-7.3
ZINC000000020244,-7.3
ZINC000000020244,-7.3
ZINC000000020244,-7.3
ZINC000000020245,-7.9
ZINC000000020245,-8.4
ZINC000000020246,-7.4
ZINC000000020246,-7.2
ZINC000000020246,-7.4
ZINC000000020246,-7.1
ZINC000000020246,-6.9
ZINC000000020248,-8.2
ZINC000000020248,-7.6
ZINC000000020248,-8.2
ZINC000000020248,-8.7
ZINC000000020249,-7.8
ZINC000000020249,-7.9
ZINC000000020249,-8.3
ZINC000000020249,-8.2
ZINC000000020249,-8.3
ZINC000000020250,-7.2
ZINC000000020250,-7.2
ZINC000000020251,-7.1
ZINC000000020251,-7.2
ZINC000000020251,-7.0
ZINC000000020251,-7.1
ZINC000000020252,-8.1
ZINC000000020252,-8.2
ZINC000000020252,-8.1
ZINC000000020252,-8.1
ZINC000000020252,-8.2
ZINC000000020252,-8.1
ZINC000000020252,-8.2
ZINC000000020252,-8.2
ZINC000000020252,-8.2
ZINC000000020252,-8.1
ZINC000000020252,-8.1
ZINC000000020253,-9.1
ZINC000000020253,-7.8
ZINC000000020253,-9.2
ZINC000000020253,-8.3
ZINC000000020253,-8.5
ZINC000000020253,-9.1
ZINC000000020255,-6.4
ZINC000000020255,-6.5
ZINC000000020255,-6.6
ZINC000000020255,-6.2
ZINC000000020255,-6.6
ZINC000000020255,-6.5
ZINC000000020257,-6.1
ZINC000000020257,-6.1
ZINC000000020259,-6.0
ZINC000000020259,-6.0
ZINC000000020259,-6.0
ZINC000000020260,-7.8
ZINC000000020260,-7.9
ZINC000000020260,-7.8
ZINC000000020260,-7.8
ZINC000000020260,-7.8
ZINC000000020260,-7.7
ZINC000000020260,-7.8
ZINC000000020260,-7.9
ZINC000000020260,-7.9
ZINC000000020260,-7.8
ZINC000000020260,-7.6
ZINC000000020783,-6.7
ZINC000000020783,-6.6
ZINC000000020783,-6.7
ZINC000000020783,-6.7
ZINC000000020783,-6.6
ZINC000000020783,-6.7
ZINC000000020783,-6.7
ZINC000000020783,-6.7
ZINC000000020783,-6.6
ZINC000000020783,-6.6
ZINC000000025958,-8.8
ZINC000000025958,-8.1
ZINC000000032350,-7.7
ZINC000000033882,-5.9
ZINC000000034157,-6.5
ZINC000000034157,-6.5
ZINC000000034157,-6.5
ZINC000000034157,-6.5
ZINC000000034157,-6.5
ZINC000000034157,-6.5
ZINC000000035804,-7.6
ZINC000000035804,-7.7
ZINC000000035804,-7.7
ZINC000000035804,-7.3
ZINC000000035804,-7.3
ZINC000000035804,-7.1
ZINC000000035804,-7.5
ZINC000000037293,-7.4
ZINC000000037293,-8.1
ZINC000000038545,-8.1
ZINC000000038545,-8.1
ZINC000000039089,-6.3
ZINC000000039089,-6.3
ZINC000000039089,-6.3
ZINC000000039092,-8.9
ZINC000000039092,-8.8
ZINC000000039092,-7.2
ZINC000000039905,-5.7
ZINC000000039906,-6.6
ZINC000000039906,-6.7
ZINC000000043478,-7.6
ZINC000000044027,-7.7
ZINC000000044027,-7.5
ZINC000000044027,-7.6
ZINC000000049142,-7.1
ZINC000000049142,-7.6
ZINC000000049153,-6.7
ZINC000000049153,-6.7
ZINC000000049153,-6.7
ZINC000000049153,-6.9
ZINC000000049153,-6.7
ZINC000000049153,-6.7
ZINC000000049153,-6.7
ZINC000000049154,-5.9
ZINC000000049154,-5.9
ZINC000000056399,-6.6
ZINC000000056399,-6.6
ZINC000000056399,-6.5
ZINC000000056427,-6.7
ZINC000000056427,-6.5
ZINC000000056427,-6.2
ZINC000000056427,-6.8
ZINC000000056427,-6.4
ZINC000000056544,-6.7
ZINC000000056544,-6.9
ZINC000000056555,-8.5
ZINC000000056555,-8.6
ZINC000000056555,-7.6
ZINC000000056555,-8.5
ZINC000000056556,-7.9
ZINC000000056556,-7.9
ZINC000000056556,-7.7
ZINC000000056556,-7.9
ZINC000000056556,-7.9
ZINC000000056568,-6.9
ZINC000000056568,-6.9
ZINC000000056568,-7.0
ZINC000000056568,-6.9
ZINC000000056643,-8.0
ZINC000000056643,-7.8
ZINC000000056643,-7.7
ZINC000000056645,-6.8
ZINC000000056645,-6.8
ZINC000000056645,-6.8
ZINC000000056645,-6.8
ZINC000000056646,-6.7
ZINC000000056646,-6.8
ZINC000000056646,-6.8
ZINC000000056646,-6.8
ZINC000000056646,-6.6
ZINC000000056646,-6.8
ZINC000000056646,-6.6
ZINC000000056646,-6.7
ZINC000000056647,-6.9
ZINC000000056647,-7.3
ZINC000000056648,-7.2
ZINC000000056648,-7.2
ZINC000000056648,-7.1
ZINC000000056648,-7.1
ZINC000000056648,-6.9
ZINC000000056648,-7.0
ZINC000000056648,-7.1
ZINC000000056651,-6.8
ZINC000000056651,-6.8
ZINC000000056651,-6.8
ZINC000000056651,-6.9
ZINC000000056652,-6.9
ZINC000000056652,-6.9
ZINC000000056652,-7.0
ZINC000000056652,-6.9
ZINC000000056652,-7.0
ZINC000000056653,-6.7
ZINC000000056653,-6.8
ZINC000000056653,-6.7
ZINC000000056653,-6.8
ZINC000000056653,-6.7
ZINC000000056949,-7.9
ZINC000000056949,-8.2
ZINC000000056949,-7.9
ZINC000000056949,-8.0
ZINC000000057001,-5.6
ZINC000000057001,-5.4
ZINC000000057001,-5.8
ZINC000000057001,-5.6
ZINC000000057001,-5.8
ZINC000000057008,-7.6
ZINC000000057008,-7.6
ZINC000000057008,-7.5
ZINC000000057008,-8.0
ZINC000000057008,-7.4
ZINC000000057008,-7.7
ZINC000000057008,-7.0
ZINC000000057008,-6.8
ZINC000000057008,-7.7
ZINC000000057008,-7.6
ZINC000000057008,-7.0
ZINC000000057008,-7.6
ZINC000000057008,-7.4
ZINC000000057060,-7.0
ZINC000000057060,-7.2
ZINC000000057060,-6.6
ZINC000000057060,-6.8
ZINC000000057060,-7.1
ZINC000000057060,-6.7
ZINC000000057060,-7.2
ZINC000000057060,-7.1
ZINC000000057062,-6.2
ZINC000000057062,-6.3
ZINC000000057115,-7.0
ZINC000000057146,-6.3
ZINC000000057146,-6.3
ZINC000000057146,-6.3
ZINC000000057146,-6.2
ZINC000000057146,-6.2
ZINC000000057146,-6.2
ZINC000000057147,-6.2
ZINC000000057147,-6.2
ZINC000000057147,-6.3
ZINC000000057147,-6.5
ZINC000000057147,-6.2
ZINC000000057147,-6.4
ZINC000000057198,-8.0
ZINC000000057198,-8.1
ZINC000000057198,-8.0
ZINC000000057198,-7.6
ZINC000000057198,-8.1
ZINC000000057198,-8.0
ZINC000000057204,-7.1
ZINC000000057204,-7.4
ZINC000000057204,-7.0
ZINC000000057204,-7.1
ZINC000000057204,-7.1
ZINC000000057204,-7.3
ZINC000000057204,-7.5
ZINC000000057206,-6.9
ZINC000000057206,-6.9
ZINC000000057206,-6.7
ZINC000000057206,-6.9
ZINC000000057206,-6.8
ZINC000000057251,-8.1
ZINC000000057251,-7.9
ZINC000000057251,-8.0
ZINC000000057251,-7.8
ZINC000000057251,-8.1
ZINC000000057251,-8.0
ZINC000000057251,-8.0
ZINC000000057252,-8.4
ZINC000000057252,-8.3
ZINC000000057252,-8.4
ZINC000000057252,-8.2
ZINC000000057252,-8.3
ZINC000000057252,-8.4
ZINC000000057252,-8.2
ZINC000000057253,-7.0
ZINC000000057253,-7.1
ZINC000000057253,-7.0
ZINC000000057253,-7.1
ZINC000000057254,-6.9
ZINC000000057254,-7.1
ZINC000000057254,-6.8
ZINC000000057254,-6.8
ZINC000000057255,-9.0
ZINC000000057255,-9.1
ZINC000000057255,-9.1
ZINC000000057255,-9.2
ZINC000000057255,-9.1
ZINC000000057255,-9.1
ZINC000000057261,-6.8
ZINC000000057261,-6.8
ZINC000000057261,-6.7
ZINC000000057262,-6.8
ZINC000000057262,-6.8
ZINC000000057262,-6.6
ZINC000000057278,-8.3
ZINC000000057278,-8.4
ZINC000000057278,-8.4
ZINC000000057278,-8.4
ZINC000000057278,-8.4
ZINC000000057302,-7.5
ZINC000000057302,-7.4
ZINC000000057302,-7.5
ZINC000000057302,-7.8
ZINC000000057313,-7.5
ZINC000000057313,-6.7
ZINC000000057313,
ZINC000000057313,-6.9
ZINC000000057313,-6.9
ZINC000000057313,-7.1
ZINC000000057313,-6.7
ZINC000000057319,-8.1
ZINC000000057319,-8.1
ZINC000000057319,-8.2
ZINC000000057319,-8.1
ZINC000000057319,-8.6
ZINC000000057319,-8.1
ZINC000000057319,-8.6
ZINC000000057319,-8.2
ZINC000000057320,-8.1
ZINC000000057320,-8.2
ZINC000000057320,-8.2
ZINC000000057320,-8.2
ZINC000000057320,-8.1
ZINC000000057320,-8.3
ZINC000000057320,-8.2
ZINC000000057320,-8.3
ZINC000000057320,-8.1
ZINC000000057320,-8.1
ZINC000000057320,-8.2
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057321,-8.1
ZINC000000057340,-6.7
ZINC000000057340,-6.7
ZINC000000057340,-6.7
ZINC000000057340,-6.6
ZINC000000057340,-6.7
ZINC000000057340,-6.5
ZINC000000057340,-6.7
ZINC000000057340,-6.7
ZINC000000057340,-6.7
ZINC000000057340,-6.8
ZINC000000057341,-6.7
ZINC000000057341,-6.6
ZINC000000057341,-6.7
ZINC000000057341,-6.6
ZINC000000057341,-6.5
ZINC000000057341,-6.8
ZINC000000057341,-6.1
ZINC000000057341,-6.8
ZINC000000057401,-6.4
ZINC000000057401,-6.4
ZINC000000057401,-7.1
ZINC000000057401,-7.3
ZINC000000057401,-7.1
ZINC000000057406,-6.0
ZINC000000057406,-5.7
ZINC000000057406,-5.6
ZINC000000057406,-6.0
ZINC000000057406,-6.1
ZINC000000057406,-6.0
ZINC000000057407,-5.9
ZINC000000057407,-5.5
ZINC000000057407,-5.6
ZINC000000057407,-5.5
ZINC000000057408,-5.8
ZINC000000057408,-5.8
ZINC000000057408,-5.7
ZINC000000057408,-5.8
ZINC000000057408,-5.8
ZINC000000057409,-6.0
ZINC000000057409,-5.8
ZINC000000057409,-6.1
ZINC000000057409,-6.0
ZINC000000057409,-6.0
ZINC000000057409,-6.0
ZINC000000057412,-6.4
ZINC000000057412,-6.3
ZINC000000057421,-7.5
ZINC000000057422,-8.6
ZINC000000057422,-8.6
ZINC000000057422,-8.6
ZINC000000057422,-8.7
ZINC000000057422,-8.6
ZINC000000057422,-8.4
ZINC000000057422,-8.7
ZINC000000057422,-8.6
ZINC000000057422,-8.7
ZINC000000057422,-8.7
ZINC000000057422,-8.7
ZINC000000057422,-8.6
ZINC000000057435,-7.1
ZINC000000057435,-7.2
ZINC000000057435,-7.3
ZINC000000057435,-6.8
ZINC000000057439,-7.7
ZINC000000057439,-7.8
ZINC000000057439,-8.3
ZINC000000057439,-7.8
ZINC000000057439,-8.3
ZINC000000057439,-7.6
ZINC000000057439,-7.6
ZINC000000057439,-7.6
ZINC000000057439,-7.8
ZINC000000057455,-7.3
ZINC000000057455,-7.5
ZINC000000057455,-7.5
ZINC000000057455,-7.3
ZINC000000057455,-7.4
ZINC000000057455,-7.4
ZINC000000057455,-7.4
ZINC000000057455,-7.5
ZINC000000057464,-7.6
ZINC000000057480,-8.1
ZINC000000057480,-8.1
ZINC000000057480,-8.2
ZINC000000057480,-8.1
ZINC000000057480,-8.2
ZINC000000057480,-8.0
ZINC000000057480,-8.0
ZINC000000057480,-8.1
ZINC000000057490,-7.9
ZINC000000057490,-8.0
ZINC000000057490,-8.0
ZINC000000057490,-8.0
ZINC000000057490,-7.9
ZINC000000057493,-6.9
ZINC000000057493,-7.1
ZINC000000057493,-6.7
ZINC000000057493,-7.5
ZINC000000057494,-7.7
ZINC000000057494,-7.7
ZINC000000057501,-7.4
ZINC000000057501,-7.6
ZINC000000057501,-7.5
ZINC000000057501,-7.5
ZINC000000057503,-8.1
ZINC000000057503,-8.0
ZINC000000057503,-8.1
ZINC000000057503,-8.0
ZINC000000057504,-7.5
ZINC000000057504,-7.6
ZINC000000057504,-7.8
ZINC000000057504,-7.4
ZINC000000057512,-7.8
ZINC000000057512,-7.5
ZINC000000057512,-7.5
ZINC000000057512,-7.3
ZINC000000057513,-6.6
ZINC000000057513,-6.6
ZINC000000057513,-6.6
ZINC000000057513,-6.3
ZINC000000057513,-6.7
ZINC000000057513,-6.4
ZINC000000057513,-6.6
ZINC000000057519,-8.8
ZINC000000057519,-8.0
ZINC000000057519,-8.7
ZINC000000057519,-8.8
ZINC000000057519,-8.7
ZINC000000057520,-8.1
ZINC000000057520,-8.1
ZINC000000057520,-8.7
ZINC000000057520,-7.9
ZINC000000057520,-7.3
ZINC000000057520,-8.7
ZINC000000057522,-9.2
ZINC000000057522,-9.7
ZINC000000057522,-9.3
ZINC000000057522,-9.0
ZINC000000057522,-9.0
ZINC000000057522,-9.2
ZINC000000057522,-9.0
ZINC000000057522,-9.2
ZINC000000057522,-9.2
ZINC000000057522,-9.3
ZINC000000057522,-9.0
ZINC000000057522,-8.9
ZINC000000057532,-7.3
ZINC000000057532,-6.5
ZINC000000057532,-7.6
ZINC000000057532,-6.9
ZINC000000057532,-7.0
ZINC000000057532,-6.6
ZINC000000057532,-6.7
ZINC000000057532,-6.8
ZINC000000057533,-6.7
ZINC000000057533,-6.7
ZINC000000057533,-6.9
ZINC000000057533,-6.9
ZINC000000057533,-6.7
ZINC000000057533,-6.7
ZINC000000057533,-6.8
ZINC000000057533,-6.8
ZINC000000057533,-6.9
ZINC000000057534,-7.4
ZINC000000057534,-7.4
ZINC000000057624,-6.0
ZINC000000057624,-6.0
ZINC000000057624,-6.0
ZINC000000057624,-6.0
ZINC000000057674,-9.2
ZINC000000061044,-7.2
ZINC000000073711,-6.7
ZINC000000074836,-6.2
ZINC000000074836,-6.2
ZINC000000074836,-6.2
ZINC000000075008,-6.5
ZINC000000075008,-6.6
ZINC000000075008,-5.8
ZINC000000075008,-6.6
ZINC000000075008,-6.4
ZINC000000075126,-9.4
