ZINC_ID,Binding Affinity (kcal/mol)
ZINC000000000407,-8.4
ZINC000000000416,-8.6
ZINC000000000416,-8.7
ZINC000000000416,-8.8
ZINC000000000416,-8.7
ZINC000000000416,-8.6
ZINC000000000416,-8.8
ZINC000000000416,-8.7
ZINC000000000416,-8.7
ZINC000000000416,-8.6
ZINC000000000416,-8.6
ZINC000000000416,-8.6
ZINC000000000416,-8.6
ZINC000000000416,-8.5
ZINC000000000416,-8.7
ZINC000000000416,-8.7
ZINC000000000431,-8.3
ZINC000000000431,-8.3
ZINC000000000431,-8.4
ZINC000000000431,-8.4
ZINC000000000432,-7.8
ZINC000000000432,-7.8
ZINC000000000432,-8.5
ZINC000000000432,-8.5
ZINC000000000435,-8.7
ZINC000000000435,-8.7
ZINC000000000435,-8.7
ZINC000000000440,-8.1
ZINC000000000449,-7.8
ZINC000000000449,-7.8
ZINC000000000449,-7.7
ZINC000000000449,-7.9
ZINC000000000449,-7.9
ZINC000000000449,-7.8
ZINC000000000449,-7.9
ZINC000000000450,-6.3
ZINC000000000450,-6.3
ZINC000000000450,-6.0
ZINC000000000456,-8.5
ZINC000000000456,-8.2
ZINC000000000456,-7.0
ZINC000000000456,-8.6
ZINC000000000456,-8.0
ZINC000000000456,-6.8
ZINC000000000456,-7.9
ZINC000000000456,-8.5
ZINC000000000456,-7.3
ZINC000000000469,-6.4
ZINC000000000469,-6.3
ZINC000000000469,-6.4
ZINC000000000471,-7.3
ZINC000000000471,-7.4
ZINC000000000471,-7.4
ZINC000000000480,-7.6
ZINC000000000480,-7.7
ZINC000000000490,-6.0
ZINC000000000490,-5.9
ZINC000000000491,-6.6
ZINC000000000491,-6.6
ZINC000000000491,-6.6
ZINC000000000494,-7.5
ZINC000000000494,-7.5
ZINC000000000494,-7.4
ZINC000000000494,-7.4
ZINC000000000494,-7.4
ZINC000000000494,-7.4
ZINC000000000494,-7.5
ZINC000000000494,-7.3
ZINC000000000504,-8.3
ZINC000000000504,-8.3
ZINC000000000504,-8.5
ZINC000000000504,-8.2
ZINC000000000506,-6.4
ZINC000000000506,-6.4
ZINC000000000507,-6.4
ZINC000000000507,-6.0
ZINC000000000507,-6.6
ZINC000000000507,-6.1
ZINC000000000509,-7.7
ZINC000000000509,-8.0
ZINC000000000509,-8.0
ZINC000000000565,-7.1
ZINC000000000565,-7.1
ZINC000000000565,-7.8
ZINC000000000565,-7.9
ZINC000000000565,-7.1
ZINC000000000565,-7.1
ZINC000000000570,-7.2
ZINC000000000570,-7.4
ZINC000000000570,-7.2
ZINC000000000570,-7.5
ZINC000000000570,-7.3
ZINC000000000570,-7.3
ZINC000000000570,-7.4
ZINC000000000575,-8.1
ZINC000000000575,-8.1
ZINC000000000596,-8.2
ZINC000000000596,-8.0
ZINC000000000596,-8.0
